INFO:__main__:File(name='1663629550_60-mykaleidoscope-ru-p-ovoshchi-dlya-detei-pinterest-64', extension='.jpg', is_dir=False, parent_dir='Desktop')
INFO:__main__:File(name='1672392038_grizly-club-p-trafareti-flazhkov-dlya-girlyandi-iz-bumag-7', extension='.png', is_dir=False, parent_dir='Desktop')
INFO:__main__:File(name='1672392041_grizly-club-p-trafareti-flazhkov-dlya-girlyandi-iz-bumag-10', extension='.jpg', is_dir=False, parent_dir='Desktop')
INFO:__main__:File(name='1672392041_grizly-club-p-trafareti-flazhkov-dlya-girlyandi-iz-bumag-10', extension='.psd', is_dir=False, parent_dir='Desktop')
INFO:__main__:File(name='1672392042_grizly-club-p-trafareti-flazhkov-dlya-girlyandi-iz-bumag-13', extension='.png', is_dir=False, parent_dir='Desktop')
INFO:__main__:File(name='38', extension='.jpg', is_dir=False, parent_dir='Desktop')
INFO:__main__:File(name='Doc9', extension='.docx', is_dir=False, parent_dir='Desktop')
INFO:__main__:File(name='Сним000000ок', extension='.JPG', is_dir=False, parent_dir='Desktop')
INFO:__main__:File(name='Сним00ок', extension='.JPG', is_dir=False, parent_dir='Desktop')
INFO:__main__:File(name='Сним0ок', extension='.JPG', is_dir=False, parent_dir='Desktop')
INFO:__main__:File(name='Сним1ок', extension='.JPG', is_dir=False, parent_dir='Desktop')
INFO:__main__:File(name='Снимо0000к', extension='.JPG', is_dir=False, parent_dir='Desktop')
INFO:__main__:File(name='Снимок', extension='.JPG', is_dir=False, parent_dir='Desktop')
